Date,prodcategory1_seller,prodcategory2_seller,productfamily_seller,prodcategory1_seller_based_LM_to_upd,prodcategory2_seller_based_LM_to_upd,productfamily_seller_based_LM_to_upd,innoscape_ref_prodcategory1_seller,innoscape_ref_prodcategory2_seller,innoscape_ref_productfamily_seller
,Terrasse & Jardin,"Parasol, tonnelle et voile d'ombrage",Pied et accessoires de parasol,,Plein air,Accessoires plein air,Terrasse & Jardin,Plein air,Accessoires plein air
,Terrasse et jardin,Outils de jardinage,"Gants, bottes et vêtements du jardinier",,Outil à main de jardin,Protection du jardinier,Terrasse et jardin,Outil à main de jardin,Protection du jardinier
,Cuisine,"Electroménager, four, hotte, réfrigérateur et plaque de cuisson","Electroménager, four, hotte, réfrigérateur et plaque de cuisson",,,,Cuisine,"Electroménager, four, hotte, réfrigérateur et plaque de cuisson","Electroménager, four, hotte, réfrigérateur et plaque de cuisson"
,,,,Cuisine,"Electroménager, four, hotte, réfrigérateur et plaque de cuisson",Accessoires pour electroménager-four-hotte-réfrigérateur-plaque de cuisson,Cuisine,"Electroménager, four, hotte, réfrigérateur et plaque de cuisson",Accessoires pour electroménager-four-hotte-réfrigérateur-plaque de cuisson
,Terrasse et jardin,"Fontaine, bassin","Pot de fleurs, jardinière, poterie décorative",,Aménagement,Contenants,Terrasse et jardin,Aménagement,Contenants
,Outillage,Matériel et aménagement de l'atelier,Eclairage de chantier,,,,Outillage,Matériel et aménagement de l'atelier,Eclairage de chantier
,Terrasse et jardin,Outils de jardinage,Outil pour cultiver,,Outil à main de jardin,Outillage à main,Terrasse et jardin,Outil à main de jardin,Outillage à main
,Electricité et Domotique,Tableau électrique,"Accessoires du tableau électrique (bornier, peigne, …)",,Distribution électrique,"Accessoires du tableau électrique (bornier, peigne,etc)",Electricité et Domotique,Distribution électrique,"Accessoires du tableau électrique (bornier, peigne,etc)"
,Electricité et Domotique,Interrupteur et prise,"Interrupteur et prise encastrable, composable",,Interrupteurs et prises,Interrupteurs et prises,Electricité et Domotique,Interrupteurs et prises,Interrupteurs et prises
,,,,Divers,Divers,Divers,Divers,Divers,Divers
,Terrasse & jardin,"Gazon, terreau, serre et entretien du jardin",Outil pour entretien du gazon,,Produits pour jardin,"Semence, engrais, rouleau gazon",Terrasse & jardin,Produits pour jardin,"Semence, engrais, rouleau gazon"
,Terrasse & Jardin,Terrasse et sol extérieur,Gazon synthétique,,Aménagement,Aménagements décoratifs,Terrasse & Jardin,Aménagement,Aménagements décoratifs
,Terrasse & Jardin,"Barbecue, plancha et cuisine d'extérieur",Barbecue,,Plein air,Barbecue,Terrasse & Jardin,Plein air,Barbecue
,Matériaux & Menuiserie,"Panneau bois, tablette, étagère, tasseau, moulure et plinthe","Plinthe bois, plinthe MDF, plinthe PVC",,,,Matériaux & Menuiserie,"Panneau bois, tablette, étagère, tasseau, moulure et plinthe","Plinthe bois, plinthe MDF, plinthe PVC"
,"Carrelage, parquet & sol souple","Parquet, stratifié et plancher",Plinthe pour parquet et stratifié,,,,"Carrelage, parquet & sol souple","Parquet, stratifié et plancher",Plinthe pour parquet et stratifié
,"Carrelage, parquet & sol souple","Parquet, stratifié et plancher",Barre de seuil pour parquet et stratifié,,,Barre de seuil et nez de marche,"Carrelage, parquet & sol souple","Parquet, stratifié et plancher",Barre de seuil et nez de marche
,Outillage,Outillage spécialisé,Outillage du carreleur,,,,Outillage,Outillage spécialisé,Outillage du carreleur
,Outillage,Outillage spécialisé,Outillage du peintre,,,,Outillage,Outillage spécialisé,Outillage du peintre
,Outillage,Outillage spécialisé,Outillage du plombier,,,,Outillage,Outillage spécialisé,Outillage du plombier
,Outillage,Outillage spécialisé,Outillage du maçon,,,,Outillage,Outillage spécialisé,Outillage du maçon
,Outillage,Outillage spécialisé,Outillage du tapissier,,,,Outillage,Outillage spécialisé,Outillage du tapissier
,Outillage,Outillage spécialisé,Outillage du plaquiste,,,,Outillage,Outillage spécialisé,Outillage du plaquiste
,Outillage,Outillage spécialisé,"Outillage du menuisier, ébéniste",,,,Outillage,Outillage spécialisé,"Outillage du menuisier, ébéniste"
,Outillage,Outillage spécialisé,Outillage du vitrier,,,,Outillage,Outillage spécialisé,Outillage du vitrier
,Outillage,Outillage spécialisé,Outillage du soudeur,,,,Outillage,Outillage spécialisé,Outillage du soudeur
,Outillage,Outillage à main,"Cutter, scalpel et ciseaux",,,,Outillage,Outillage à main,"Cutter, scalpel et ciseaux"
,Outillage,Outillage à main,Lime et râpe,,,,Outillage,Outillage à main,Lime et râpe
,Outillage,Outillage à main,"Tournevis (cruciforme, aimanté, de précision…)",,,,Outillage,Outillage à main,"Tournevis (cruciforme, aimanté, de précision…)"
,Outillage,Outillage à main,Pince et tenaille,,,,Outillage,Outillage à main,Pince et tenaille
,Outillage,Outillage à main,Clé et douille,,,,Outillage,Outillage à main,Clé et douille
,Outillage,Outillage à main,Scie à main,,,,Outillage,Outillage à main,Scie à main
,Outillage,Outillage à main,Marteau,,,,Outillage,Outillage à main,Marteau
,Electricité & Domotique,Tableau électrique,Tableau électrique et coffret de communication,,Distribution électrique,Tableau électrique et coffret de communication,Electricité & Domotique,Distribution électrique,Tableau électrique et coffret de communication
,Matériaux et menuiserie,Gros oeuvre,Grillage avertisseur et gaine de protection,,,,Matériaux et menuiserie,Gros oeuvre,Grillage avertisseur et gaine de protection
,Terrasse & Jardin,"Salon de jardin, table et chaise",Chauffage de terrasse,,Plein air,Mobilier de jardin,Terrasse & Jardin,Plein air,Mobilier de jardin
,Matériaux et menuiserie,Gros oeuvre,"Fer à béton (chaînage, treillis soudé, …)",,,Divers Gros oeuvre,Matériaux et menuiserie,Gros oeuvre,Divers Gros oeuvre
,"Carrelage, parquet & sol souple","Lame, dalle et sol PVC",Sol PVC en rouleau,,,,"Carrelage, parquet & sol souple","Lame, dalle et sol PVC",Sol PVC en rouleau
,Terrasse & Jardin,"Abri, garage, rangement et étendoir",Abri de jardin,,Aménagement,Abris de jardin,Terrasse & Jardin,Aménagement,Abris de jardin
,Terrasse & Jardin,Terrasse et sol extérieur,Dalle et lame bois pour terrasse et jardin,,Aménagement,Dalles et lames bois pour terrasse et jardin,Terrasse & Jardin,Aménagement,Dalles et lames bois pour terrasse et jardin
,,,,Outillage,Outillage électroportatif,Divers OEP,Outillage,Outillage électroportatif,Divers OEP
,Quincaillerie & Sécurité,"Cheville, vis, clou et boulon",Vis,Quincaillerie & Sécurité,Quincaillerie de fixation,Visserie-clouterie,Quincaillerie & Sécurité,Quincaillerie de fixation,Visserie-clouterie
,Terrasse et jardin,"Nettoyeur haute pression, détergent et accessoire",Accessoires pour nettoyeur haute pression,,,,Terrasse et jardin,"Nettoyeur haute pression, détergent et accessoire",Accessoires pour nettoyeur haute pression
,Terrasse et jardin,Terrasse et sol extérieur,Bordure de jardin,,Aménagement,Aménagements décoratifs,Terrasse et jardin,Aménagement,Aménagements décoratifs
,Terrasse et jardin,"Grillage, canisse, panneau, clôture et palissade",Accessoires d'occultation,,Aménagement,Accessoires amenagement et produits d'entretien ,Terrasse et jardin,Aménagement,Accessoires amenagement et produits d'entretien 
,Décoration & Eclairage,Ampoule et LED,Ampoule et LED,Décoration et Eclairage,Luminaires,Ampoules et leds,Décoration et Eclairage,Luminaires,Ampoules et leds
,Terrasse & Jardin,Outils de jardinage,Pelle et pioche,,Outil à main de jardin,Outillage à main,Terrasse & Jardin,Outil à main de jardin,Outillage à main
,Electricité et Domotique,Interrupteur et prise,Interrupteur et prise prêt à poser,,Interrupteurs et prises,Interrupteurs et prises,Electricité et Domotique,Interrupteurs et prises,Interrupteurs et prises
,Electricité et Domotique,Interrupteur et prise,Interrupteur et prise en saillie,,Interrupteurs et prises,Interrupteurs et prises,Electricité et Domotique,Interrupteurs et prises,Interrupteurs et prises
,Electricité et Domotique,Interrupteur et prise,Interrupteur et prise étanche,,Interrupteurs et prises,Interrupteurs et prises,Electricité et Domotique,Interrupteurs et prises,Interrupteurs et prises
,Electricité et Domotique,Interrupteur et prise,Interrupteur et variateur de lampe,,Interrupteurs et prises,Interrupteurs et prises,Electricité et Domotique,Interrupteurs et prises,Interrupteurs et prises
,Electricité et Domotique,Interrupteur et prise,Multiprise et parafoudre,,Interrupteurs et prises,,Electricité et Domotique,Interrupteurs et prises,Multiprise et parafoudre
,Terrasse et jardin,Outils de jardinage,"Balai extérieur, sac et composteur",,Outil à main de jardin,Accessoires pour outillage à main de jardin,Terrasse et jardin,Outil à main de jardin,Accessoires pour outillage à main de jardin
,Terrasse & jardin,"Gazon, terreau, serre et entretien du jardin",Pulvérisateur de jardin et accessoires,,Outil à main de jardin,Pulvérisation,Terrasse & jardin,Outil à main de jardin,Pulvérisation
